county_fips,total_pop,prop_White,prop_Black,prop_Hispanic,prop_AIA,prop_Asian,wgt_cfscore,cf_category,cf_label
26031,25418.03027,0.920568085,0.007868446,0.014399252,0.048351564,0.006806204,0.123857892,1,Lean Conservative
26033,37628.46929,0.696165389,0.059289421,0.018841828,0.202582911,0.016051454,0.058202218,1,Lean Conservative
26039,13891.89579,0.945220289,0.007414375,0.020083517,0.013964873,0.010077653,0.146504854,1,Lean Conservative
26041,36025.94023,0.928662625,0.003358686,0.01368456,0.043218795,0.008993505,-0.007446058,-1,Lean Liberal
26043,25438.9479,0.949329774,0.006210935,0.015684579,0.015605955,0.012225324,0.137793195,1,Lean Conservative
26045,109455.7394,0.828387663,0.065798126,0.053912076,0.015485676,0.028221385,-0.147521931,-1,Lean Liberal
26047,33103.96889,0.91158167,0.007340508,0.016584098,0.049571057,0.011418561,-0.031101384,-1,Lean Liberal
26053,15060.9163,0.901002373,0.038642894,0.01460726,0.038775798,0.006706081,-0.166740741,-1,Lean Liberal
26055,92180.78234,0.925939245,0.008646036,0.028628434,0.019754602,0.012074053,-0.162147125,-1,Lean Liberal
26059,45756.86057,0.946565556,0.006796772,0.023187712,0.011823325,0.006534519,0.391339575,1,Lean Conservative
26061,36070.06469,0.920737454,0.007346825,0.016329359,0.015386747,0.033767676,-0.078731666,-1,Lean Liberal
26071,11151.97114,0.943866525,0.005469871,0.020982799,0.020893158,0.006725242,0.006700186,1,Lean Conservative
26075,158635.9428,0.846434486,0.076930914,0.03533248,0.010407477,0.012588571,0.052560474,1,Lean Conservative
26079,17585.14338,0.941313408,0.008302539,0.020130869,0.019505332,0.008075116,0.201873093,1,Lean Conservative
26083,2110.993785,0.967787824,0.009000452,0.00805305,0.015158678,0.001894828,-0.050906585,-1,Lean Liberal
26089,21651.82634,0.900055505,0.004341407,0.043644906,0.042582603,0.008821341,-0.237449791,-1,Lean Liberal
26091,98380.65296,0.866661163,0.022727992,0.079710566,0.013996608,0.008314612,0.030279891,1,Lean Conservative
26095,6337.972677,0.776743739,0.065162285,0.034868982,0.115809434,0.008046674,0.20529084,1,Lean Conservative
26097,10779.99777,0.731261572,0.032374761,0.017717999,0.205194834,0.009740266,0.097906024,1,Lean Conservative
26101,24456.97339,0.889847506,0.028090107,0.031565606,0.039743218,0.008054953,-0.075066345,-1,Lean Liberal
26103,66685.84348,0.920852792,0.016570255,0.015235631,0.030741122,0.011606661,-0.375897683,-1,Lean Liberal
26105,28953.98547,0.914588654,0.009014301,0.045658632,0.016888857,0.00897976,0.121060926,1,Lean Conservative
26109,23074.10804,0.928924402,0.003163737,0.018158981,0.037227967,0.006890871,0.06628919,1,Lean Conservative
26115,149726.1806,0.913041708,0.023469377,0.035791822,0.009089879,0.009570772,0.059048195,1,Lean Conservative
26119,9265.019402,0.95855367,0.00237453,0.013167853,0.021694554,0.002158663,0.261079956,1,Lean Conservative
26125,1253176.379,0.72002997,0.135091165,0.041217367,0.009933095,0.084522253,-0.197759583,-1,Lean Liberal
26131,5877.039965,0.949123674,0.004934499,0.015143755,0.025523267,0.006295721,-0.010440461,-1,Lean Liberal
26135,8248.005833,0.955140645,0.004970902,0.0163676,0.018549943,0.002909808,0.27989313,1,Lean Conservative
26137,24490.00888,0.945242906,0.005063301,0.017272383,0.016455726,0.009187412,0.186940194,1,Lean Conservative
26141,12713.98399,0.955403477,0.005820357,0.013921669,0.013449743,0.006921508,0.060688959,1,Lean Conservative
26153,8047.999939,0.85673457,0.004473161,0.011058649,0.118663045,0.005094432,0.02968932,1,Lean Conservative
26161,366997.414,0.701275221,0.117779308,0.047217979,0.014762942,0.10568662,-0.235356669,-1,Lean Liberal
26163,1757289.694,0.495215225,0.385447043,0.059420205,0.010495086,0.040546887,-0.295700858,-1,Lean Liberal
