state_po,state_po_district,NAME20,candidate,votes,total_votes,pct_vote,candidate_house,candidate_dime,correct_ratio,Unnamed: 0,Cand_ID,bonica_rid,name,ffname,party,state,district,recipient_cfscore,recipient_cfscore_dyn,district_partisanship,census_match,min,wgt_cfscore,cf_category,cf_label
MI,MI01,0010104000001,JACK BERGMAN,449,663,0.6772247360482655,jack bergman,john bergman,75.0,61760,H6MI01226,cand137055,"bergman, john",john,R,MI,MI01,1.086,1.044,0.233,RberMI,75.0,0.7354660633484164,2,Strong Conservative
MI,MI01,0010104000001,MATTHEW W MORGAN,214,663,0.32277526395173456,matthew w morgan,matthew wade morgan,93.0,58834,H8MI01149,cand140638,"morgan, matthew wade",matthew wade,D,MI,MI01,-1.474,-1.318,0.233,DmorMI,75.0,-0.47577073906485673,-1,Lean Liberal
MI,MI01,0011246000001,JACK BERGMAN,395,576,0.6857638888888888,jack bergman,john bergman,75.0,61760,H6MI01226,cand137055,"bergman, john",john,R,MI,MI01,1.086,1.044,0.233,RberMI,75.0,0.7447395833333333,2,Strong Conservative
MI,MI01,0011246000001,MATTHEW W MORGAN,181,576,0.3142361111111111,matthew w morgan,matthew wade morgan,93.0,58834,H8MI01149,cand140638,"morgan, matthew wade",matthew wade,D,MI,MI01,-1.474,-1.318,0.233,DmorMI,75.0,-0.4631840277777778,-1,Lean Liberal
MI,MI01,0011932000001,JACK BERGMAN,365,562,0.6494661921708185,jack bergman,john bergman,75.0,61760,H6MI01226,cand137055,"bergman, john",john,R,MI,MI01,1.086,1.044,0.233,RberMI,75.0,0.705320284697509,2,Strong Conservative
MI,MI01,0011932000001,MATTHEW W MORGAN,197,562,0.3505338078291815,matthew w morgan,matthew wade morgan,93.0,58834,H8MI01149,cand140638,"morgan, matthew wade",matthew wade,D,MI,MI01,-1.474,-1.318,0.233,DmorMI,75.0,-0.5166868327402135,-2,Strong Liberal
MI,MI01,0013482000001,JACK BERGMAN,432,675,0.64,jack bergman,john bergman,75.0,61760,H6MI01226,cand137055,"bergman, john",john,R,MI,MI01,1.086,1.044,0.233,RberMI,75.0,0.6950400000000001,2,Strong Conservative
MI,MI01,0013482000001,MATTHEW W MORGAN,243,675,0.36,matthew w morgan,matthew wade morgan,93.0,58834,H8MI01149,cand140638,"morgan, matthew wade",matthew wade,D,MI,MI01,-1.474,-1.318,0.233,DmorMI,75.0,-0.53064,-2,Strong Liberal
MI,MI01,0013574000001,JACK BERGMAN,219,302,0.7251655629139073,jack bergman,john bergman,75.0,61760,H6MI01226,cand137055,"bergman, john",john,R,MI,MI01,1.086,1.044,0.233,RberMI,75.0,0.7875298013245035,2,Strong Conservative
MI,MI01,0013574000001,MATTHEW W MORGAN,83,302,0.27483443708609273,matthew w morgan,matthew wade morgan,93.0,58834,H8MI01149,cand140638,"morgan, matthew wade",matthew wade,D,MI,MI01,-1.474,-1.318,0.233,DmorMI,75.0,-0.4051059602649007,-1,Lean Liberal
MI,MI01,0013686001001,JACK BERGMAN,120,227,0.5286343612334802,jack bergman,john bergman,75.0,61760,H6MI01226,cand137055,"bergman, john",john,R,MI,MI01,1.086,1.044,0.233,RberMI,75.0,0.5740969162995595,2,Strong Conservative
