STATEFP20_x,COUNTYFP20_x,VTDST20_x,GEOID20,VTDI20_x,NAME20,NAMELSAD20_x,LSAD20_x,MTFCC20_x,FUNCSTAT20_x,OBJECTID_x,PRECINCTID_x,COUNTYFIPS_x,MCDFIPS_x,WARD_x,PRECINCT_x,jurisdiction_name,jurisdiction_fips
26,001,001001,26001001001,A,0010104000001,Voting District 0010104000001,V1,G5240,N,1,WP-001-01040-00001,001,01040,00,001,ALCONA TOWNSHIP,2600101040
26,001,001002,26001001002,A,0011246000001,Voting District 0011246000001,V1,G5240,N,2,WP-001-12460-00001,001,12460,00,001,CALEDONIA TOWNSHIP,2600112460
26,001,001003,26001001003,A,0011932000001,Voting District 0011932000001,V1,G5240,N,3,WP-001-19320-00001,001,19320,00,001,CURTIS TOWNSHIP,2600119320
26,001,001004,26001001004,A,0013482000001,Voting District 0013482000001,V1,G5240,N,4,WP-001-34820-00001,001,34820,00,001,GREENBUSH TOWNSHIP,2600134820
26,001,001005,26001001005,A,0013574000001,Voting District 0013574000001,V1,G5240,N,5,WP-001-35740-00001,001,35740,00,001,GUSTIN TOWNSHIP,2600135740
26,001,001007,26001001007,A,0013688000001,Voting District 0013688000001,V1,G5240,N,7,WP-001-36880-00001,001,36880,00,001,HARRISVILLE TOWNSHIP,2600136880
26,001,001008,26001001008,A,0013722000001,Voting District 0013722000001,V1,G5240,N,8,WP-001-37220-00001,001,37220,00,001,HAWES TOWNSHIP,2600137220
26,001,001009,26001001009,A,0013738000001,Voting District 0013738000001,V1,G5240,N,9,WP-001-37380-00001,001,37380,00,001,HAYNES TOWNSHIP,2600137380
26,001,001010,26001001010,A,0015388000001,Voting District 0015388000001,V1,G5240,N,10,WP-001-53880-00001,001,53880,00,001,MIKADO TOWNSHIP,2600153880
26,001,001011,26001001011,A,0015406000001,Voting District 0015406000001,V1,G5240,N,11,WP-001-54060-00001,001,54060,00,001,MILLEN TOWNSHIP,2600154060
26,001,001012,26001001012,A,0015474000001,Voting District 0015474000001,V1,G5240,N,12,WP-001-54740-00001,001,54740,00,001,MITCHELL TOWNSHIP,2600154740
26,003,003001,26003003001,A,0030446000001,Voting District 0030446000001,V1,G5240,N,13,WP-003-04460-00001,003,04460,00,001,AU TRAIN TOWNSHIP,2600304460
26,003,003002,26003003002,A,0031196000001,Voting District 0031196000001,V1,G5240,N,14,WP-003-11960-00001,003,11960,00,001,BURT TOWNSHIP,2600311960
26,003,003003,26003003003,A,0033338000001,Voting District 0033338000001,V1,G5240,N,15,WP-003-33380-00001,003,33380,00,001,GRAND ISLAND TOWNSHIP,2600333380
